,cast,genres,keywords,production_companies,production_countries,urls,titles
1320,BenAffleck RebeccaHall JeremyRenner JonHamm,Crime Drama Thriller,basedonnovel moneylaundering ambulance boston massachusetts bankmanager drugdealer florist flowershop hold-uprobbery volunteer stolenmoney friends carsetonfire bostongarden policechase bestfriend fenwaypark,LegendaryPictures GKFilms ThunderRoadPictures WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.4CeCdqRbQjBHpdO0AlsUuwHaLH%26pid%3D15.1&f=1,the town
1321,CameronDiaz JenniferLopez ElizabethBanks AnnaKendrick,Romance Comedy Drama,basedonnovel adoption pregnant miscarriage expectantfather pregnantwife vomiting expectingtwins openaircinema givingbirth,AlconEntertainment Lionsgate PhoenixPictures WhattoExpectProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.m6dT9pIR1Joi8MRO5AQVZQHaLH%26pid%3D15.1&f=1,what to expect when you're expecting
1322,GeorgeClooney FrancesMcDormand BradPitt JohnMalkovich,Comedy Drama,blackmail paranoia fitness-training plasticsurgery autobiography memory corpse divorce gym disc expriest,MikeZossProductions StudioCanal RelativityMedia FocusFeatures WorkingTitleFilms,UnitedStatesofAmerica UnitedKingdom France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.GBkied7LJOxbmgMCzjZr2AHaJ4%26pid%3D15.1&f=1,burn after reading
1323,AbigailBreslin JodieFoster GerardButler MichaelCarman,Adventure Comedy Family Fantasy,fictionalplace exoticisland shipwreck cruise volcano e-mail liana daughter turtle author talkinganimal pirate womandirector iguana sealion,WaldenMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.w4vDrZ6bM92qJ4fqN2Vv_wAAAA%26pid%3D15.1&f=1,nim's island
1324,DanielBrühl ChrisHemsworth OliviaWilde AlexandraMariaLara,Drama Action,worldchampion sport racingcar formula1 automobileracing basedontrueevents,RevolutionFilms WorkingTitleFilms CrossCreekPictures ExclusiveMediaGroup DoubleNegative,Germany UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.F--epApcL7A1XvwU1NCEAgHaKj%26pid%3D15.1&f=1,rush
1325,JulianneMoore WilliamH.Macy JohnC.Reilly TomCruise,Drama,farewell regret parentskidsrelationship suicideattempt becominganadult lossoffather dyinganddeath chance childprodigy daughter unsociability reconciliation,NewLineCinema GhoulardiFilmCompany TheMagnoliaProject,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.HEQt_yLxKd5mRfmQsbrGwAAAAA%26pid%3D15.1&f=1,magnolia
1326,BruceWillis TracyMorgan JuanCarlosHernández SeannWilliamScott,Action Comedy Crime,newyork moneylaundering daughter police undercovercop lockedintrunkofcar baseballcard wedding policeofficer duringcreditsstinger,WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.rG5pchUruEmVF0IPudCAmAHaLH%26pid%3D15.1&f=1,cop out
1327,DakotaJohnson RebelWilson AlisonBrie NicholasBraun,Comedy Romance,newyork basedonnovel one-nightstand single,NewLineCinema FlowerFilms Metro-Goldwyn-MayerPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.RSW17c2i-XwknoaRwhqAwgHaOG%26pid%3D15.1&f=1,how to be single
1328,MorganFreeman AshleyJudd HarryConnickJr. NathanGamble,Drama Family,dolphin boy trap summer tail,AlconEntertainment ArcProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.EVy_el2wKpO6gm64ZCrbggHaOG%26pid%3D15.1&f=1,dolphin tale
1329,KristenStewart RobertPattinson BillyBurke TaylorLautner,Adventure Fantasy Drama Romance,soulmates vampire forbiddenlove immortality trust desire duringcreditsstinger womandirector interspeciesromance basedonyoungadultnovel fangvamp,SummitEntertainment MaverickFilms ImprintEntertainment GoldcrestPictures TempleHillEntertainment TwilightProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.hNYqHZ6ZdEq0M_lwpGveZAHaFi%26pid%3D15.1&f=1,twilight
1330,DenzelWashington RobertDuvall AnneHeche KimberlyElise,Drama Thriller Crime,fathersonrelationship chicago heartattack kidnapping heartdisease hostage-taking hospital,NewLineCinema Burg/KoulesProductions EvolutionEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.taAitdTxw0irwe4e70N4DgAAAA%26pid%3D15.1&f=1,john q
1331,MartinLawrence LukeWilson DaveChappelle PeterGreene,Action Comedy Crime,robbery diamant policeoperation policeeverydaylife thief policeofficer policestation,ColumbiaPictures,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.usWJnX3tkOeaznbiMsDefwAAAA%26pid%3D15.1&f=1,blue streak
1332,JasonSudeikis JenniferAniston WillPoulter EmmaRoberts,Comedy Crime,mexico police gang drugsmuggling drug family,NewLineCinema BenderSpink HeydayFilms Newman/TooleyFilms VincentNewmanEntertainment SlapHappyProductions(II),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP._8ABNYr8Q-g0hwg-qsJabQHaOG%26pid%3D15.1&f=1,we're the millers
1333,VasilyStepanov PyotrFyodorov ЮлияСнигирь FyodorBondarchuk,Action Fantasy ScienceFiction Thriller,basedonnovel brothersisterrelationship swordfight spaceship strugatsky brainwashing bigcity girlfriendfromchina hardtokill outerspace testting testing headofstate,ArtPicturesStudio Non-StopProductions TelekanalSTS PremiereStealthRights,Russia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.dIMdzjENUtCBlF7Ox39RSgHaKZ%26pid%3D15.1&f=1,obitaemyy ostrov
1334,KurtRussell J.T.Walsh KathleenQuinlan M.C.Gainey,Drama Action Thriller,california bank ransom carbreakdown kidnapping donut highway barn vacation stranded deception murder suspense redneck diner extortion captive carchase desert moving trucker,ParamountPictures DinoDeLaurentiisCompany SpellingFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ZDe_CWYSR3Cin9f4JvMF6gHaLH%26pid%3D15.1&f=1,breakdown
1335,SeanConnery KimBasinger KlausMariaBrandauer EdwardFox,Adventure Action Thriller,videogame spy bahamas british stealing scubadiving scuba britishsecretservice,PSOInternational TaliaFilmIIProductions Woodcote,Germany UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.QgA8JoT1sa6hZD8w5PgMuAAAAA%26pid%3D15.1&f=1,never say never again
1336,JohnCusack LizzyCaplan RobCorddry CraigRobinson,ScienceFiction Comedy Adventure,femalenudity one-nightstand timetravel timemachine incestovertones hottub peterpansyndrome fortysomething skiing,UnitedArtists Metro-Goldwyn-Mayer(MGM) NewCrimeProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.74g90xWECs5Tjn2qWihTMQHaLH%26pid%3D15.1&f=1,hot tub time machine
1337,MorganFreeman AshleyJudd NathanGamble CoziZuehlsdorff,Family Drama,dolphin aquarium swimming,AlconEntertainment ColorForce BoxingCatFilms St.PetersburgClearwaterFilmCommission,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.X2IzT2TqvGx-w_zuX2AXrAHaK-%26pid%3D15.1&f=1,dolphin tale 2
1338,BenAffleck GarySinise CharlizeTheron DennisFarina,Thriller,prison robbery rolereversal extramaritalaffair,DimensionFilms MartyKatzProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Fzk51LxmKOWngtncH6j4nQHaLH%26pid%3D15.1&f=1,reindeer games
1339,VinDiesel LarenzTate TimothyOlyphant GenoSilva,Action Drama,repayment arbitrarylaw cop lossofwife,"NewLineCinema Newman/TooleyFilms JosephNittoloEntertainment ""DIA""ProductionsGmbH&Co.KG",Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.skpMPA7l6BKooq3WZ5T7jwAAAA%26pid%3D15.1&f=1,a man apart
1340,BradleyCooper EmmaStone RachelMcAdams BillMurray,Drama Comedy Romance,lovetriangle hawaii satellite military duringcreditsstinger communication,ScottRudinProductions VinylFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.NsyyXuoLM4AqHm6m5XxgTgHaLH%26pid%3D15.1&f=1,aloha
1341,AlecBaldwin JamesWoods VirginiaMadsen WhoopiGoldberg,History Drama,assassin widow trial civilrights activist,ColumbiaPictures CastleRockEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.1oPQlcFlH6cbKiXISJhRFwHaLB%26pid%3D15.1&f=1,ghosts of mississippi
1342,EthanHawke YoukiKudoh ReeveCarney AnneSuzuki,Drama Romance,journalist japanese wife fisherman war bias trial washingtonstate japaneseamerican,UniversalPictures TheKennedy/MarshallCompany,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.BLGwA--vWV831BIALRS4JwAAAA%26pid%3D15.1&f=1,snow falling on cedars
1343,AnthonyHopkins ColinO'Donoghue AliceBraga TobyJones,Drama Thriller Horror,vatican violinist hospital miscarriage exorcist romancatholic seminary limp toad clergy formalin walkingcane,NewLineCinema Contrafilm MidAtlanticFilms HungarianNationalFilmOffice LazioFilmCommission RomeFilmCommission ItalianTaxCredit,UnitedStatesofAmerica Hungary Italy,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.5rMXNlXtjxtcE4kQmFHWQwHaLH%26pid%3D15.1&f=1,the rite
1366,MichaelAngarano KurtRussell KellyPreston DaniellePanabaker,Adventure Comedy Family,hero loyalty mockery supernaturalpowers highschool mission superpowers teensuperheroes,WaltDisneyPictures GunnFilms MaxStrongholdProductionsInc.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.5UrNxk-s1AMEHNjOX2OMVQHaKl%26pid%3D15.1&f=1,sky high
1367,KevinKline JoanCusack TomSelleck MattDillon,Comedy Romance,gay homophobia comingout lgbt,ParamountPictures SpellingFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qccbAA0zunSQSJj8t0_tNwHaHa%26pid%3D15.1&f=1,in & out
1368,NatashaHenstridge BenKingsley MichaelMadsen AlfredMolina,ScienceFiction Horror Action,telepathy dna paranoia genetics instinct femmefatale alien ontherun decapitation sexualattraction losangeles cocoon geneticengineering scientists aliendna,Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.zWeJpZC7tDchagnSvRs_ggHaLH%26pid%3D15.1&f=1,species
1369,JohnSaxon RoneeBlakley HeatherLangenkamp AmandaWyss,Horror,childmurderer sleep nightmare supernatural slasher teenager trapped alcoholic boilerroom boobytrap disfigurement medicaltest dreams,NewLineCinema SmartEggPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.sjORqC1-B7xa1X2XjGX8iAHaK-%26pid%3D15.1&f=1,a nightmare on elm street
1370,JenniferLopez VincentD'Onofrio VinceVaughn MarianneJean-Baptiste,Horror ScienceFiction Thriller,drowning therapist virtualreality serialkiller psychopathy fbiagent,NewLineCinema AveryPix RadicalMedia KatiraProductionsGmbH&Co.KG Caro-McLeod,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.KoAq3_NmLACNa03lXSMkoAHaKg%26pid%3D15.1&f=1,the cell
1372,DianeLane JohnMalkovich ScottGlenn DylanWalsh,Drama,horserace horsebackriding biography,WaltDisneyPictures FastTrackProductions MayhemPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Y-_k0G_EJjfyCbO0E9DjBgAAAA%26pid%3D15.1&f=1,secretariat
1373,ChrisEvans SarahMichelleGellar Mako KevinSmith,Adventure Animation Comedy Family,newyork brotherbrotherrelationship journalist martialarts crimefighter secretidentity mutant turtle love basedoncomicbook reunion brotheragainstbrother,TheWeinsteinCompany ImagiAnimationStudios WarnerBros. MirageStudios ImagiProduction,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.7ZCFUc4cM8tNx8cSlgF9LQHaEK%26pid%3D15.1&f=1,tmnt
1374,CubaGoodingJr. EdHarris AlfreWoodard S.EpathaMerkerson,Drama,biography friendship sport,RevolutionStudios Tollin/RobbinsProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.FJgL5flNNYBGxvnUHDHwKQAAAA%26pid%3D15.1&f=1,radio
1375,JustinTimberlake MilaKunis PatriciaClarkson WoodyHarrelson,Romance Comedy,funeral friends hospital aftercreditsstinger duringcreditsstinger,CastleRockEntertainment ScreenGems OliveBridgeEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.httxjMRvUFM9VZ5EWjM-ZgHaLH%26pid%3D15.1&f=1,friends with benefits
1376,SethRogen RoseByrne ZacEfron ChloëGraceMoretz,Comedy,alcohol college party sequel sorority neighbor family fraternity bathroomhumor,UniversalPictures PerfectWorldPictures PointGreyPictures GoodUniverse,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.u5_oEH9MA2Hmhaqkvgp2PgHaLH%26pid%3D15.1&f=1,neighbors 2: sorority rising
1377,EmmaThompson TomHanks PaulGiamatti ColinFarrell,Comedy Drama History,biography animation writer moviemaking,WaltDisneyPictures BBCFilms RubyFilms EssentialMedia&Entertainment HopscotchFeatures,Australia UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.y3anPYLCRmAyWOe5_J2q2wHaLH%26pid%3D15.1&f=1,saving mr. banks
1378,DenzelWashington AngelaBassett AlbertHall AlFreeman,Drama History,islam newyork prison assassination kukluxklan muslim policebrutality beach koran jailguard prisoncell bible biography martinlutherking nationofislam civilrightsmovement mekka pilgrimage cabriolet police historicalfigure malcolmx,JVCEntertainment 40Acres&AMuleFilmworks WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.CVTAAMNyAUVjPBw5o4Sq2AAAAA%26pid%3D15.1&f=1,malcolm x
1379,PaulRudd LeslieMann JasonSegel MaudeApatow,Comedy,wifehusbandrelationship children familyrelationships duringcreditsstinger,ApatowProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.d2VJZHZTNuN3J_iqN_FTRgHaLH%26pid%3D15.1&f=1,this is 40
1380,RobinWilliams JohnTravolta SethGreen JustinLong,Comedy Family,japanese camp bestfriend co-worker kids duringcreditsstinger sportsmarketingfirm,WaltDisneyPictures TapestryFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.BsXZuWBPQ4BT648Pjc2UTAHaLH%26pid%3D15.1&f=1,old dogs
1381,BillNighy MichaelSheen RhonaMitra ShaneBrolly,Fantasy Action Adventure ScienceFiction Thriller,prison underworld slavery castle vampire war werewolf battle slave dungeon fangvamp,LakeshoreEntertainment ScreenGems SketchFilms UW3FilmProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.NCPk6pObs4l3YmIyeXKkbwHaLA%26pid%3D15.1&f=1,underworld: rise of the lycans
1382,RobinWilliams MandyMoore JohnKrasinski EricChristianOlsen,Comedy,newlove tencommandments bride bridegroom marriage relation partnership civilregistryoffice priest wedding church,VillageRoadshowPictures RobertSimondsProductions WarnerBros. PhoenixPictures Underground ProposalProductions,Australia UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.ce6ErhXgI1x6em06mMWLeQHaLG%26pid%3D15.1&f=1,license to wed
1383,JonHeder RobSchneider DavidSpade JonLovitz,Comedy,baseball pizza sport paperboy team homerun videostore,ColumbiaPictures RevolutionStudios HappyMadisonProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.d9yj_7iUa3rdur-Fh27plwHaOG%26pid%3D15.1&f=1,the benchwarmers
1384,DianeLane JohnCusack ElizabethPerkins ChristopherPlummer,Comedy Romance,sistersisterrelationship makeamatch single children teacher dating divorce petdog computerdating internetdating woodenboats,TeamTodd WarnerBros. UbuProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.YZDVULPZeunZvCmmgqqMXAAAAA%26pid%3D15.1&f=1,must love dogs
1385,JohnnyDepp AlPacino MichaelMadsen BrunoKirby,Crime Drama Thriller,undercover colombia mafia mobster dirtycop informant stealingmoney marriagecounselor shavingcream playingcards,TriStarPictures MarkJohnsonProductions PhoenixPictures BaltimorePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.C_YfCJy1uOYI-9Mo0BqooAHaLH%26pid%3D15.1&f=1,donnie brasco
1386,MillaJovovich MichelleRodriguez EricMabius RyanMcCluskey,Horror Action ScienceFiction,undercover mutant dystopia conspiracy zombie basedonvideogame,ImpactPictures Davis-Films NewLegacy ConstantinFilmProduktion,France Germany UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.LScx8GNfGMhiAjdLAiofuwAAAA%26pid%3D15.1&f=1,resident evil
1387,CraigT.Nelson JoBethWilliams BeatriceStraight HeatherO'Rourke,Horror,medium ghostbuster poltergeist hauntedhouse dyinganddeath familyrelationships goodvsevil paranormalphenomena powerofgoodness parent-childbond haunted,SLMProductionGroup Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.tswpDvDMOl_JMmMvqnWOGAHaEl%26pid%3D15.1&f=1,poltergeist
1388,TomHanks IrmaP.Hall MarlonWayans J.K.Simmons,Comedy Crime Thriller,churchchoir hidingplace garbage duringcreditsstinger,MikeZossProductions TheJacobsonCompany TouchstonePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.PjSEJJ1XNFpZDwlQTCPkUgHaK-%26pid%3D15.1&f=1,the ladykillers
1389,MarkWahlberg MilaKunis BeauBridges Ludacris,Action,assassin basedonvideogame aftercreditsstinger,DuneEntertainment FirmFilms CollisionEntertainment AbandonEntertainment FoxtorProductions DepthEntertainment,UnitedStatesofAmerica Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.u9UaScbSf3IOJ5eTglTN3wHaEK%26pid%3D15.1&f=1,max payne
1390,JustinTimberlake AmandaSeyfried CillianMurphy OliviaWilde,Action Thriller ScienceFiction,bank future time dystopia raceagainsttime immortality ontherun classdifferences copsandrobbers  richvspoor,RegencyEnterprises StrikeEntertainment NewRegencyPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.GM2IPmWXVM787d7_SNoeAgHaKp%26pid%3D15.1&f=1,in time
1391,JenniferLopez AlexO'Loughlin DanneelAckles EricChristianOlsen,Comedy Romance,kiss spermbank romanticcomedy malefemalerelationship doctor pregnancy singlemother artificialinsemination motherhood duringcreditsstinger,EscapeArtists CBSFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.NumCvCL5iLST8d7mD3A_wAHaL2%26pid%3D15.1&f=1,the back-up plan
1392,KateHudson GinniferGoodwin JohnKrasinski ColinEgglesfield,Comedy Drama Romance,newyork alcohol basedonnovel secret cheating birthday destroy friends crush lawyer bestfriend wedding pregnancy relationship celebration roses lying flashback engaged loyal liaison confidant,AlconEntertainment WildOceanFilms 2SFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.fqTr5fs11YZ9wLxOPrbljgHaOG%26pid%3D15.1&f=1,something borrowed
1393,MartinLawrence MarshaThomason TomWilkinson VincentRegan,Adventure Comedy Fantasy,england blackpeople medallion castle timetravel leapintime knight impostor king middleages imposture medievaltimes,TwentiethCenturyFoxFilmCorporation RegencyEnterprises EpsilonMotionPictures NewRegencyPictures RunteldatEntertainment Firm The,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.i0tBm25bXVOqaV2KtEG51gHaKf%26pid%3D15.1&f=1,black knight
1394,WalterMatthau TatumO'Neal BenPiazza VicMorrow,Comedy Family,baseball sport littleleague,ParamountPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.FEZ0-HtIPjnqcYmq4m-1qgHaKY%26pid%3D15.1&f=1,the bad news bears
1395,Jean-ClaudeVanDamme RaúlJuliá Ming-NaWen DamianChapa,Action Adventure Thriller,dictator martialarts hostage liberationofhostage hostage-taking streetfighter unitednations basedonvideogame,UniversalPictures Capcom,Japan UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.HnCQR-ixtLxg_bW7-TtJhwHaE1%26pid%3D15.1&f=1,street fighter
1396,AdrienBrody ThomasKretschmann FrankFinlay MaureenLipman,Drama War,individual resistance radiostation warcrimes lossoffamily childmurderer hunger worldwarii prisonersofwar homeland deportation hidingplace ghettoriot jewpersecution liberation warsawghetto polishresistance nazis biography classicalmusic panzer pianist,BacFilms Canal+Polska HeritageFilms StudioBabelsberg AgencjaProdukcjiFilmowej BeverlyDetroit FilmFernsehFondsBayern FilmboardBerlin-Brandenburg(FBB) MainstreamS.A. R.P.Productions StudioCanal Filmförderungsanstalt(FFA) Canal+ InterscopeCommunications TelewizjaPolska(TVP) Runteam,France Germany Poland UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.43Fqo1z4i4tNbSyd5io48QHaLH%26pid%3D15.1&f=1,the pianist
1397,KeishaCastle-Hughes OscarIsaac HiamAbbass ShaunToub,Drama History,jesuschrist bible threekings archangelgabriel christian blessedhope wisemen womandirector,NewLineCinema SoundforFilm TempleHillEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.sZIsX93hZknd8VzDpILnXwAAAA%26pid%3D15.1&f=1,the nativity story
1398,ElishaCuthbert ParisHilton BrianVanHolt JaredPadalecki,Horror,americanfootball trafficjam remake murder suspense waxmuseum teenager groupoffriends ghosttown wax,VillageRoadshowPictures DarkCastleEntertainment WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.muCv5xlRg8HcPrrrhHsJwgAAAA%26pid%3D15.1&f=1,house of wax
