,cast,genres,keywords,production_companies,production_countries,title
1038,BryanCranston DianeKruger JohnLeguizamo DanielMays,Crime Drama Thriller,undercover biography drug druglord,GoodFilms,UnitedKingdom,The Infiltrator
1039,LaurenceOlivier JacquelineBisset BenGazzara ToshirōMifune,Drama History War,,Metro-Goldwyn-Mayer(MGM) UnificationChurch OneWayProductions,SouthKorea UnitedStatesofAmerica,Inchon
1040,JohnGoodman ElizabethPerkins RickMoranis RosieO'Donnell,Fantasy Comedy Family,manager jealousy badmother-in-law adoption family'sdailylife stoneage plan friendship bestfriend dinosaur,UniversalPictures AmblinEntertainment Hanna-BarberaProductions,UnitedStatesofAmerica,The Flintstones
1041,LiamNeeson MaggieGrace FamkeJanssen RadeSerbedzija,Action Crime Thriller,kidnapping turkey policechase bagoverhead violence fbiagent teenagedaughter stealingacar ex-husbandex-wiferelationship albanian u.s.embassy killedinanelevator securityguardkilled,TwentiethCenturyFoxFilmCorporation M6Films Canal+ GriveProductions EuropaCorp Ciné+,France,Taken 2
1042,PamelaAnderson JennyMcCarthy MarnyEng CharlieSheen,Comedy,horrorspoof,DimensionFilms BradGreyPictures,UnitedStatesofAmerica,Scary Movie 3
1043,SandraBullock BenjaminBratt MichaelCaine CandiceBergen,Comedy Crime Action,undercoveragent beautycontest terrorism,VillageRoadshowPictures CastleRockEntertainment NPVEntertainment FortisFilms,UnitedStatesofAmerica,Miss Congeniality
1044,BrendanFraser JoshHutcherson AnitaBriem SethMeyers,Action ScienceFiction Adventure Comedy Family,volcano prehistoric dinosaur prehistoriccreature 3d,NewLineCinema WaldenMedia,UnitedStatesofAmerica,Journey to the Center of the Earth
1045,AnneHathaway JulieAndrews HéctorElizondo JohnRhys-Davies,Comedy Drama Family Romance,coronation duty marriage fallinginlove,WaltDisneyPictures,UnitedStatesofAmerica,The Princess Diaries 2: Royal Engagement
1046,JuliaRoberts DenzelWashington SamShepard WilliamAtherton,Drama Mystery Thriller Crime,judge professor missionofmurder supremecourt,WarnerBros.,UnitedStatesofAmerica,The Pelican Brief
1047,SusanSarandon TommyLeeJones Mary-LouiseParker AnthonyLaPaglia,Drama Thriller Crime Mystery,suicide brotherbrotherrelationship witnessprotection principalwitness brother investigation searchforwitnesses lawyer gangster,RegencyEnterprises AlcorFilms WarnerBros.,UnitedStatesofAmerica,The Client
1048,JackNicholson MorganFreeman SeanHayes BeverlyTodd,Drama Comedy,africa himalaya braintumor wifehusbandrelationship senseoflife malefriendship safari dyinganddeath wish journeyroundtheworld terminalillness billionaire fatherdaughterrelationship estrangedfather elderly bucketlist tajmahal,TwoTonFilms Zadan/MeronProductions Reiner/GreismanProductions,UnitedStatesofAmerica,The Bucket List
1049,HarrisonFord AnneArcher PatrickBergin ThoraBirch,Drama Action Thriller Crime,assassination assassin repayment ira jackryan,ParamountPictures MaceNeufeldProductions,UnitedStatesofAmerica,Patriot Games
1050,JenniferLopez JaneFonda MichaelVartan WandaSykes,Romance Comedy,badmother-in-law surgeon dogsitter fallinginlove,NewLineCinema SpringCreekProductions BenderSpink KumarMobiliengesellschaftmbH&Co.ProjektNr.1KG,UnitedStatesofAmerica Germany,Monster-in-Law
1051,HughJackman JakeGyllenhaal PaulDano MariaBello,Drama Thriller Crime,pennsylvania kidnapping maze vigilante ruralsetting candlelightvigil,AlconEntertainment MadhouseEntertainment 8:38Productions,UnitedStatesofAmerica,Prisoners
1052,DenzelWashington EthanHawke ScottGlenn TomBerenger,Action Crime Drama Thriller,policebrutality warondrugs drugtraffic drugdealer losangeles gangmember mexicanamerican barrio cholo,VillageRoadshowPictures NPVEntertainment WarnerBros. OutlawProductions(I) WVFilmsII,Australia UnitedStatesofAmerica,Training Day
1053,TimAllen SigourneyWeaver AlanRickman TonyShalhoub,Comedy Family ScienceFiction,spacebattle spaceship spoof fictionaltvshow,DreamWorksSKG GranViaProductions,UnitedStatesofAmerica,Galaxy Quest
1054,AnnaFaris MarlonWayans JamesDeBello ShawnWayans,Comedy,sex exorcism secretdoor,Gold/MillerProductions WayansBros.Entertainment DimensionFilms BradGreyPictures,Canada UnitedStatesofAmerica,Scary Movie 2
1055,AmyAdams JasonSegel EmilyBlunt JohnKrasinski,Comedy Family Music,musical themuppets robot oiltycoon studiotour duringcreditsstinger,WaltDisneyPictures,UnitedStatesofAmerica,The Muppets
1056,WesleySnipes StephenDorff KrisKristofferson N'BusheWright,Horror Action,suicide hero vampire bite fistfight supernatural vampirehunter superhero rivalry tragichero goodvsevil onemanarmy extremeviolence martialartsmaster scientist violence disarmingsomeone blade machinegun englishsubtitlesinoriginal hypodermicneedle microscope secretheadquarters bulletdodging bullettime kickedinthegroin xrayedskeleton mouthguard escapade imaginary deadly masterwarrior supernaturalability fangvamp,NewLineCinema AmenRaFilms ImaginaryForces MarvelEnterprises,UnitedStatesofAmerica,Blade
1057,SamuelL.Jackson RobBrown RobertRi'chard RickGonzalez,Drama,blackpeople autoritianeducation sport highschool scholarship basketball violenceinschools teacher teachersandstudents,ParamountPictures MTVFilms Tollin/RobbinsProductions,Germany UnitedStatesofAmerica,Coach Carter
1058,BenAffleck SamuelL.Jackson KimStaunton ToniCollette,Action Adventure Crime Thriller,newyork custodybattle suspense lawyer,ParamountPictures,UnitedStatesofAmerica,Changing Lanes
1059,JenniferLopez IceCube JonVoight EricStoltz,Adventure Horror Thriller,amazon jungle anaconda filmcrew killersnake riverboat amazonriver animalhorror,ColumbiaPicturesCorporation MiddleForkProductions IguanaProducciones SkylightCinemaFotoArt St.TropezFilms CinemaLineFilmCorporation,Brazil Peru UnitedStatesofAmerica,Anaconda
1060,PiperPerabo AdamGarcia JohnGoodman IzabellaMiko,Comedy,bar musical beautifulwoman,JerryBruckheimerFilms TouchstonePictures,UnitedStatesofAmerica,Coyote Ugly
1061,KeiraKnightley HeikeMakatsch EmmaThompson LauraLinney,Comedy Romance Drama,londonengland malenudity femalenudity loveatfirstsight usapresident marseille office christmasparty marriageproposal barsandrestaurants pressconference languagebarrier primeminister rockstar tvshow metaldetector waronterror schoolperformance multiplestorylines,UniversalPictures DNAFilms StudioCanal WorkingTitleFilms,UnitedKingdom UnitedStatesofAmerica,Love Actually
1062,KevinSpacey JuliaLouis-Dreyfus HaydenPanettiere PhyllisDiller,Adventure Animation Comedy Family,winter fight ant invention collector ant-hill kidsandfamily grass duringcreditsstinger,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,A Bug's Life
1063,JohnnyDepp HeatherGraham IanHolm RobbieColtrane,Horror Mystery Thriller,lossoffamily drugaddiction jacktheripper,TwentiethCenturyFoxFilmCorporation UnderworldEntertainment,CzechRepublic UnitedKingdom,From Hell
1064,SylvesterStallone SharonStone JamesWoods RodSteiger,Action Thriller,explosive revenge explosivesexpert,JerryWeintraubProductions WarnerBros. IguanaProducciones,Peru UnitedStatesofAmerica,The Specialist
1065,KevinCostner DonJohnson CheechMarin GeorgePerez,Comedy Drama Romance,lover(female) golf man-womanrelation sport womanbetweentwomen,RegencyEnterprises WarnerBros.,UnitedStatesofAmerica,Tin Cup
1066,LucilleBall HenryFonda VanJohnson TomBosley,Comedy Drama Family,nurse widow children parent sibling,DesiluProductions WaldenProductions,UnitedStatesofAmerica,"Yours, Mine and Ours"
1067,WillFerrell RobertDuvall KateWalsh MusettaVander,Romance Comedy Family,fathersonrelationship generationsconfilct sport amateursoccer soccercoach,UniversalPictures,UnitedStatesofAmerica,Kicking & Screaming
1068,MartinFreeman ZooeyDeschanel SamRockwell YasiinBey,Adventure Comedy Family ScienceFiction,bureaucracy england dolphin android basedonnovel chase spacetravel galaxy spaceship alien stopmotion survival hitchhiker robot alieninvasion everyman hyperspace meaningoflife basedonradioshow alienattack bathrobe destructionofearth intergalactictravel islingtonengland talkingrobot,SpyglassEntertainment EverymanPictures Hammer&Tongs TouchstonePictures,UnitedStatesofAmerica,The Hitchhiker's Guide to the Galaxy
1069,KenanThompson ShedrackAndersonIII JermaineWilliams KeithRobinson,Comedy Drama Family,,TwentiethCenturyFoxFilmCorporation DavisEntertainment CulverStudios,UnitedStatesofAmerica,Fat Albert
1070,MillaJovovich OdedFehr AliLarter IainGlen,Horror Action ScienceFiction,clone mutant post-apocalyptic dystopia conspiracy evilcorporation zombie basedonvideogame,ImpactPictures Davis-Films ConstantinFilmProduktion ResidentEvilProductions,Australia France Germany UnitedKingdom UnitedStatesofAmerica,Resident Evil: Extinction
1071,DrewBarrymore AdamSandler WendiMcLendon-Covey BellaThorne,Comedy,africa blinddate relationship familyvacation family,HappyMadisonProductions KarzEntertainment WarnerBros. GulfstreamPictures,UnitedStatesofAmerica,Blended
1072,QueenLatifah LLCoolJ TimothyHutton GiancarloEsposito,Adventure Comedy Drama,,ParamountPictures,UnitedStatesofAmerica,Last Holiday
1073,MerylStreep DavidStrathairn KevinBacon BenjaminBratt,Action Adventure Crime Thriller,river robber boston bankrobber marriagecrisis hostage-taking rafting criminal whitewaterrafting,UniversalPictures DavidFosterProductions Turman-FosterCompany,UnitedStatesofAmerica,The River Wild
1074,HalScardino Litefoot LindsayCrouse RichardJenkins,Adventure Family Fantasy,cupboard games puppet parallelworld toycomestolife,ParamountPictures ColumbiaPicturesCorporation TheKennedy/MarshallCompany,UnitedStatesofAmerica,The Indian in the Cupboard
1075,BlakeLively TaylorKitsch AaronTaylor-Johnson BeniciodelToro,Crime Drama Thriller,widow americanabroad eyegouging deaagent shotintheshoulder guninmouth filmedkilling southerncalifornia improvisedexplosivedevice surrogatedaughter shotinthethroat lagunabeachcalifornia enforcer gardner skullmask dea,Ixtlan RelativityMedia OndaEntertainment,UnitedStatesofAmerica,Savages
1076,ChrisEvans KimBasinger JasonStatham JessicaBiel,Action Adventure Crime Thriller,bank mobilephone telephone weapon police duringcreditsstinger,NewLineCinema,Germany UnitedStatesofAmerica,Cellular
1077,RowanAtkinson JohnMalkovich NatalieImbruglia TashadeVasconcelos,Adventure Action Comedy,spy hero queen intelligence coronation funeral secretagent queenelisabethii weapon spoof explosion agent pen duringcreditsstinger,UniversalPictures StudioCanal,France UnitedKingdom,Johnny English
1078,JuliaRoberts MerylStreep NicolasCage PaulGiamatti,Fantasy Adventure Animation Comedy Family,ant childhero shrinking ant-hill children,Playtone WarnerBros. LegendaryEntertainment DNAProductions,UnitedStatesofAmerica,The Ant Bully
1079,KyleMacLachlan FrancescaAnnis LeonardoCimino BradDourif,Action ScienceFiction Adventure,prophecy witch monster telepathy atomicbomb spacemarine emperor mutation insurgence spacetravel guild duke water chosenone dystopia jihad spice war messiah denunciation,DinoDeLaurentiisCompany,UnitedStatesofAmerica,Dune
1080,EvanRachelWood JimSturgess JoeAnderson DanaFuchs,Adventure Drama Music Romance,riot protest musical music culturaldifference university fantasysequence antiwar policearrest march womandirector 1960s,RevolutionStudios TeamTodd,UnitedStatesofAmerica,Across the Universe
1081,LeonardoDiCaprio KateWinslet MichaelShannon KathrynHahn,Drama Romance,adultery jealousy infidelity career marriagecrisis connecticut,DreamWorksSKG ScottRudinProductions BBCFilms NealStreetProductions EvamereEntertainment GoldcrestPictures,UnitedKingdom UnitedStatesofAmerica,Revolutionary Road
1082,BruceWillis YasiinBey DavidMorse JennaStern,Action Adventure Crime Thriller,missionofmurder malebonding doingtherightthing peoplechange,Donners'Company CheyenneEnterprises AlconEntertainment NuImageEntertainmentGmbH MillenniumFilms Emmett/FurlaFilms EquityPicturesMedienfondsGmbH&Co.KGIII 16BlockProductions,UnitedStatesofAmerica Germany,16 Blocks
1083,VinDiesel MichelleYeoh MélanieThierry LambertWilson,Action Adventure ScienceFiction Thriller,submarine baby secret future mercenary prosecution protection dystopia moralconflict smuggling vision pregnant cyberpunk sect,StudioCanal M6Films Canal+ CinéCinéma Babylon BabylonFilmsLimited M6 MNPEntreprise,France UnitedKingdom,Babylon A.D.
1084,StevenSeagal KeenenIvoryWayans BobGunton BrianCox,Action Adventure Crime Drama Thriller,secretagent past cop seriesofmurders homicidedetective,WarnerBros. Seagal/NassoProductions,UnitedStatesofAmerica,The Glimmer Man
1085,MichaelKeaton AndieMacDowell HarrisYulin EugeneLevy,Comedy Fantasy ScienceFiction,clone mistakeinperson cloning experimentgonewrong construction,ColumbiaPicturesCorporation,UnitedStatesofAmerica,Multiplicity
1086,CarterJenkins AustinButler KevinNealon RobertHoffman,Adventure Comedy Family Fantasy ScienceFiction,alien comedy duringcreditsstinger beforecreditsstinger liveactionandanimation,TwentiethCenturyFoxFilmCorporation RegencyEnterprises JosephsonEntertainment NewUpstairsProductions UpstairsCanadaProductions,Canada UnitedStatesofAmerica,Aliens in the Attic
1087,JackNicholson AaronEckhart HelenMirren RobinWright,Crime Drama Mystery Thriller,promise murder drawing porcupine pledge retirementparty criminalprofile,EpsilonMotionPictures FranchisePictures MorganCreekProductions ClydeIsHungryFilms PledgeProductions,UnitedStatesofAmerica,The Pledge
1088,MatthewBroderick UmaThurman WillFerrell EileenEssell,Comedy Music,cheating adolfhitler success music blonde funnynazi producer broadwaymusical aftercreditsstinger womandirector,SonyPictures GaumontColumbiaTristarFilms,UnitedStatesofAmerica,The Producers
1089,BillyZane KristySwanson TreatWilliams CatherineZeta-Jones,Adventure Action,secretidentity gold gangsterboss phantom silver power battleforpower jade basedoncomicbook jungle maskedhero crystalskull,ParamountPictures VillageRoadshowPictures TheLaddCompany,Australia UnitedStatesofAmerica,The Phantom
1090,MattDamon HenryThomas PenélopeCruz SamShepard,Drama Romance Western,dancing chess prisoner coffin wrongaccusal ranch airplane beating jail rifle corpse lasso cautery,ColumbiaPictures MiramaxFilms,UnitedStatesofAmerica,All the Pretty Horses
1091,AnthonyHopkins JoanAllen PowersBoothe EdHarris,History Drama,usapresident presidentialelection watergatescandal biography government historicalfigure,HollywoodPictures CinergiPicturesEntertainment,UnitedStatesofAmerica,Nixon
1092,EwanMcGregor PierceBrosnan JonBernthal KimCattrall,Thriller Mystery,londonengland cia warcrimes tonyblair author,StudioBabelsberg RunteamLtd. R.P.Productions France2Cinéma,Germany UnitedKingdom UnitedStatesofAmerica,The Ghost Writer
1093,TreatWilliams FamkeJanssen AnthonyHeald KevinJ.O'Connor,Adventure Action Horror ScienceFiction,oceanliner seamonster jewelheist armedrobbery,HollywoodPictures CinergiPicturesEntertainment CalimariProductions,Canada UnitedStatesofAmerica,Deep Rising
1094,DerekLuke MichaelEaly LazAlonso JohnTurturro,Drama War,blackpeople worldwarii toscana village soldier partisan,RaiCinema 40Acres&AMuleFilmworks TouchstonePictures OnMyOwn,Italy UnitedStatesofAmerica,Miracle at St. Anna
1095,ChowYun-fat GongLi JayChou LiuYe,Action Drama Fantasy,poison china martialarts swordplay fight toxication secretsociety passion plannedmurder power palace plan battleforpower tangdynasty pomp conspiracyofmurder heirtothethrone marriagecrisis secretlove,BeijingNewPictureFilmCo.Ltd.,China HongKong,滿城盡帶黃金甲
1096,NicolasCage ShahkritYamnarm CharlieYeung PanwardHemmanee,Action Crime Thriller,assassin asia gun deaf-mute hitman bangkok thailand stripclub apprentice videosurveillance remake murder betrayal mafia shootout boatchase explosion footchase killer gunshot flashback motorcyclechase crisisofconscience,VirtualStudios InitialEntertainmentGroup SaturnFilms InternationalProductionCompany BlueStarPictures LivingFilms BangkokDangerous,UnitedStatesofAmerica,Bangkok Dangerous
1097,TimAllen ReneRusso PatrickWarburton BenFoster,Action Comedy Thriller,gadfly,TouchstonePictures,UnitedStatesofAmerica,Big Trouble
1098,JavierBardem UnaxUgalde BenjaminBratt CatalinaSandinoMoreno,Drama Romance,sex marriageproposal newlove colombia letter loveletter dyinganddeath ship marriage cholera teacher principal doctor extramaritalaffair emotions,NewLineCinema GrosvenorParkMediaLtd.,UnitedStatesofAmerica,Love in the Time of Cholera
